year,month,자치구코드,시간대구분,male_pop,female_pop
2020,2,11500,11,253159.88672413793,281776.8307448276
2020,2,11500,12,251905.19960689655,280008.2614241379
2020,2,11500,13,250949.1189275862,278337.1500241379
2020,2,11500,14,250657.28477241378,277667.0566103448
2020,2,11500,15,250214.60447586206,277068.44492413796
2020,2,11500,16,250779.85296551723,277668.6346172414
2020,2,11500,17,251954.5204137931,279104.79757931037
2020,2,11500,18,253556.52386206895,282457.3146103448
2020,2,11500,19,257219.7110275862,287265.3998586207
2020,2,11500,20,260562.60438620692,291105.51655172417
2020,2,11500,21,263432.1268586207,294577.6219689655
2020,2,11500,22,266457.4588689655,297927.6692965517
2020,2,11500,23,269678.7562172414,301250.8066206897
2020,2,11530,0,194011.54534827586,207177.87647586205
2020,2,11530,1,193923.84025862068,207116.4918448276
2020,2,11530,2,193993.54616896552,207150.14283103446
2020,2,11530,3,193946.5265034483,207113.08811724136
2020,2,11530,4,194253.4437310345,207162.77484827588
2020,2,11530,5,193310.60448965518,206962.47087241377
2020,2,11530,6,191934.6946586207,206603.45512413792
2020,2,11530,7,193229.80363448276,209047.54861379313
2020,2,11530,8,193925.78859655175,208409.90967586206
2020,2,11530,9,194296.53855172414,206192.44521724136
2020,2,11530,10,194090.2342551724,205390.5968275862
2020,2,11530,11,193342.13687931033,204394.71560689656
2020,2,11530,12,193004.7307137931,204140.01140689655
2020,2,11530,13,192278.13900344828,203008.82739310345
2020,2,11530,14,192121.3371137931,202437.14023448277
2020,2,11530,15,192686.39549310345,202954.74940689653
2020,2,11530,16,193789.49138620688,203325.23414827586
2020,2,11530,17,196197.72056206898,204982.68538275862
2020,2,11530,18,197772.88072758622,206888.4806724138
2020,2,11530,19,195312.3591103448,204572.69058620688
2020,2,11530,20,194788.50163103448,205573.53304827586
2020,2,11530,21,194939.50988275863,206379.17685172416
2020,2,11530,22,196265.15046551725,208729.46860689652
2020,2,11530,23,194458.67802413795,207422.25691034485
2020,2,11545,0,105687.2155689655,105923.97241724138
2020,2,11545,1,105790.0623862069,106071.84142413794
2020,2,11545,2,105955.55873793103,106171.59934137932
2020,2,11545,3,106046.36427931035,106235.80321724138
2020,2,11545,4,105932.94453793103,106094.99510689655
2020,2,11545,5,105222.7104862069,105903.88730344828
2020,2,11545,6,105983.05762068965,105970.46844137931
2020,2,11545,7,110085.3715862069,107943.2746724138
2020,2,11545,8,122172.36720689655,115441.55889655172
2020,2,11545,9,128522.57883793103,119184.39767931034
2020,2,11545,10,130231.59491724137,119839.65073448277
2020,2,11545,11,130983.87691724139,120182.45504482758
2020,2,11545,12,131542.4607,120220.26084482759
2020,2,11545,13,131566.71662068964,120409.9209862069
2020,2,11545,14,131519.08225172412,120580.73636896552
2020,2,11545,15,131399.07342413793,120342.91313103448
2020,2,11545,16,131248.52462068966,120143.7101413793
2020,2,11545,17,129452.36037931034,118337.88254137931
2020,2,11545,18,122288.86061724139,112923.91127241378
2020,2,11545,19,114932.6310862069,108455.34128275861
2020,2,11545,20,111132.2485586207,107102.56923103447
2020,2,11545,21,108632.21798275862,106392.26344482758
2020,2,11545,22,107383.97254827587,106269.53345862069
2020,2,11545,23,105805.02114827586,105681.95121034482
2020,2,11560,0,201275.77553793104,209484.87872068965
2020,2,11560,1,199992.71351034482,208877.05556551722
2020,2,11560,2,199263.90009310344,208471.89759655175
2020,2,11560,3,199068.65918965518,208306.7739862069
2020,2,11560,4,199778.18837931036,209160.92388965518
2020,2,11560,5,202416.76943103448,210712.99165172412
2020,2,11560,6,208647.9085551724,213533.50744137933
2020,2,11560,7,228978.61869655174,226852.66944827585
2020,2,11560,8,251085.8496689655,246803.01364827587
2020,2,11560,9,259250.97600344828,254893.26999655174
2020,2,11560,10,263644.4772896552,258748.75070344826
2020,2,11560,11,266388.36219655175,261710.6136724138
2020,2,11560,12,267754.8633862069,263037.40559310344
2020,2,11560,13,269275.39180689654,264157.85623793106
2020,2,11560,14,269228.04319655173,263898.7528827586
2020,2,11560,15,267918.98759310343,262458.9559137931
2020,2,11560,16,266191.4802,260317.68725172413
2020,2,11560,17,260952.36928965518,256002.59387586208
2020,2,11560,18,249344.60993103447,245975.26824827585
2020,2,11560,19,234476.62232413792,233634.44124482758
2020,2,11560,20,225771.25776551725,226879.89623448276
2020,2,11560,21,218756.25842068967,221874.82891379308
2020,2,11560,22,213180.50693793103,217670.11368275862
2020,2,11560,23,203449.57015862069,210754.9106724138
2020,2,11590,0,204832.0972586207,228407.58888965516
2020,2,11590,1,205361.73873103448,228767.48407241382
2020,2,11590,2,205815.73635172413,229070.36081379312
2020,2,11590,3,206070.99819310347,229344.565762069
2020,2,11590,4,206023.72436896552,229134.46565862067
2020,2,11590,5,206054.86448275862,228690.1812275862
2020,2,11590,6,204677.1640724138,227888.1306241379
2020,2,11590,7,200648.2430586207,226356.58852413794
2020,2,11590,8,190447.7573689655,218444.80383448277
2020,2,11590,9,184225.66520689655,211252.2851413793
2020,2,11590,10,181215.4894,207841.02522758621
2020,2,11590,11,178957.25505172412,204942.91526551725
2020,2,11590,12,177914.65547586206,203308.70191379308
2020,2,11590,13,177597.8507689655,202580.20135172416
2020,2,11590,14,177320.2137517241,202161.56153448275
2020,2,11590,15,177799.6153275862,202594.08560344827
2020,2,11590,16,178878.47588620687,203568.43450344828
2020,2,11590,17,182319.18996896554,206226.9869965517
2020,2,11590,18,189942.2728241379,212318.17231034485
2020,2,11590,19,194561.2080137931,216275.33340689656
2020,2,11590,20,197243.91497241377,219399.68313793102
2020,2,11590,21,199690.96708965517,222201.90476896553
2020,2,11590,22,201462.54543448274,224667.22072413794
2020,2,11590,23,204453.29616896552,227932.71772758622
2020,2,11620,0,265424.19543448277,277340.16719310347
2020,2,11620,1,266210.0481896552,277912.0378586207
2020,2,11620,2,266649.5843172414,278312.07015517243
2020,2,11620,3,266902.9154862069,278543.4765551724
2020,2,11620,4,266594.568562069,278288.91822068964
2020,2,11620,5,264957.5296275862,277172.34266551724
2020,2,11620,6,260824.4837448276,275025.30376551725
2020,2,11620,7,253356.5455862069,270640.1375689655
2020,2,11620,8,239224.7953,255736.31525172415
2020,2,11620,9,229725.0382586207,243529.6271862069
2020,2,11620,10,225460.40267931035,239201.92287586204
2020,2,11620,11,222751.0775137931,236209.02127241378
2020,2,11620,12,221012.73697241378,234086.9741
2020,2,11620,13,219029.78311379312,231841.05146206895
2020,2,11620,14,218257.62305862067,231035.82510344827
2020,2,11620,15,218849.20577586206,232306.70201034483
2020,2,11620,16,220518.4991275862,234468.9842965517
2020,2,11620,17,225038.36495517244,238237.93315517242
2020,2,11620,18,234605.3661034483,247821.6650448276
2020,2,11620,19,244119.85890344827,257227.43078965516
2020,2,11620,20,249958.0338827586,262702.96444482764
2020,2,11620,21,254892.25434482758,267923.5558344828
2020,2,11620,22,259986.08524482758,272806.7597586207
2020,2,11620,23,263980.5643482759,276243.09206551727
2020,2,11650,0,237879.67175172415,260856.9895551724
2020,2,11650,1,236372.1668655172,260149.98676551724
2020,2,11650,2,235371.9763862069,259664.08999310344
2020,2,11650,3,234721.46416896553,259289.8685310345
2020,2,11650,4,235390.2571137931,260087.21768620686
2020,2,11650,5,240457.32227931035,262726.2333275862
2020,2,11650,6,254990.9760965517,268951.7121448276
2020,2,11650,7,274108.06208965514,281721.99646551727
2020,2,11650,8,296616.7173241379,307511.22447931033
2020,2,11650,9,313081.0458068966,329744.61988275865
2020,2,11650,10,321790.99018275866,341005.6342310345
2020,2,11650,11,325922.87474482757,347384.10203103453
2020,2,11650,12,328654.8340482759,351308.7732379311
2020,2,11650,13,331243.71977931034,354673.6807310345
2020,2,11650,14,331632.8572172413,355435.88466896553
2020,2,11650,15,329897.3789310345,352802.85114137933
2020,2,11650,16,326812.07204482757,347326.75526206894
2020,2,11650,17,320603.1114137931,340112.0036103448
2020,2,11650,18,305865.91517931037,325136.2309137931
2020,2,11650,19,288200.4012310345,308475.4214896552
2020,2,11650,20,276305.35765172413,296842.87238620693
2020,2,11650,21,266375.3376103448,286838.6519551724
2020,2,11650,22,256016.01935172416,276327.0751655172
2020,2,11650,23,241331.16540689656,262960.1809
2020,2,11680,0,332752.3801965517,353984.0004137931
2020,2,11680,1,328489.3366896552,351451.8017413794
2020,2,11680,2,325633.1073517241,349940.61815172416
2020,2,11680,3,323898.318962069,349061.44684827584
2020,2,11680,4,323411.4209,349473.45185517246
2020,2,11680,5,326282.4382103448,352171.9660241379
2020,2,11680,6,338843.4722689655,359548.2872655173
2020,2,11680,7,365704.9975862069,377518.4802137931
2020,2,11680,8,412776.8757482759,432206.1323034483
2020,2,11680,9,452149.69580689655,485680.65178620693
2020,2,11680,10,473673.4768586207,509456.56334482756
2020,2,11680,11,485107.8824758621,523183.8350551724
2020,2,11680,12,493208.7382310345,533201.7630068966
2020,2,11680,13,499567.99004137935,541075.1695758621
2020,2,11680,14,501882.3051448276,542566.280913793
2020,2,11680,15,499715.5800896552,537131.409524138
2020,2,11680,16,493767.3793586207,528010.2358206897
2020,2,11680,17,480779.20176206896,513577.77932413795
2020,2,11680,18,453512.58088965516,480581.958662069
2020,2,11680,19,420976.0370448276,442980.9611275862
2020,2,11680,20,399153.5301275862,418740.62078620685
2020,2,11680,21,380375.48002413794,398079.7201
2020,2,11680,22,356990.37875862065,373745.95569310343
2020,2,11680,23,338718.83459310344,357752.0976517242
2020,2,11710,0,362237.1460275862,406228.03209310345
2020,2,11710,1,362317.77914827585,406348.3963275862
2020,2,11710,2,362173.8523689655,406290.3017586207
2020,2,11710,3,361981.3688,406320.29443793104
2020,2,11710,4,361876.9866344828,406336.8725034483
2020,2,11710,5,363058.0882758621,407087.72146551724
2020,2,11710,6,364233.04628965515,408752.8389758621
2020,2,11710,7,363218.83777241386,410588.28418965515
2020,2,11710,8,363068.0085206896,411864.5856413793
2020,2,11710,9,361284.2800862069,411743.17546896555
2020,2,11710,10,359020.9246103448,411524.001162069
2020,2,11710,11,357180.31318275863,411038.4977172414
2020,2,11710,12,356896.47345862066,411690.7141862069
2020,2,11710,13,357032.4406103448,412637.3687793104
2020,2,11710,14,357066.0393172414,413067.8992689655
2020,2,11710,15,357328.69153103454,413159.41921379307
2020,2,11710,16,357854.32713103446,413068.05918965524
2020,2,11710,17,359500.05575517245,413624.6304931034
2020,2,11710,18,362449.35615862074,414723.65893103444
2020,2,11710,19,363687.8410896552,413464.2839034483
2020,2,11710,20,363729.28254137933,410955.50183793105
2020,2,11710,21,363586.06133448274,408617.5117034483
2020,2,11710,22,363726.1025,407652.74171379313
2020,2,11710,23,361672.9157689655,405811.87624827586
2020,2,11740,0,255489.12723103448,281925.8170965517
2020,2,11740,1,255889.38002413794,282147.38005172415
2020,2,11740,2,256160.39714482758,282278.8907172414
2020,2,11740,3,256369.9910137931,282354.12102413794
2020,2,11740,4,256695.73207931034,282346.7672586207
2020,2,11740,5,256228.3501137931,282230.1279551724
2020,2,11740,6,253064.29129310345,281382.98643448274
2020,2,11740,7,248115.64831034484,279236.5606862069
2020,2,11740,8,236894.1507586207,270487.7801413793
2020,2,11740,9,230750.24699310344,264523.1838172414
2020,2,11740,10,227497.4158862069,261920.33552413795
2020,2,11740,11,224818.36906206896,259795.77578275863
2020,2,11740,12,223012.97951379308,257486.82200689655
2020,2,11740,13,221916.46066551722,256101.9901724138
2020,2,11740,14,221979.3103137931,255878.44254482756
2020,2,11740,15,222516.20781034481,256398.80611034483
2020,2,11740,16,224220.24760344828,257812.62666206897
2020,2,11740,17,227592.24598965517,260028.25255862068
2020,2,11740,18,234098.55826206898,265345.10036551725
2020,2,11740,19,240839.70905862068,270481.854424138
2020,2,11740,20,244617.99710689654,273497.87169655174
2020,2,11740,21,247969.6508275862,276294.6189413793
